x,y,especie,date,precision
13.239379,47.763231,"Abies alba",2025-03-22,3
13.23935,47.763223,"Abies alba",2025-03-22,5
16.1572,46.9523,"Abies alba",2025-03-22,1000
19.923131,49.822908,"Abies alba",2025-03-02,3
16.222512,48.104349,"Abies alba",2025-03-01,NA
0.053394,42.568199,"Abies alba",2025-03-01,282
15.699217,46.863543,"Abies alba",2025-03-03,NA
2.959055,45.970238,"Abies alba",2025-03-03,13
15.117536,50.761096,"Abies alba",2025-03-03,NA
6.792421,49.657527,"Abies alba",2025-03-03,26486
-4.01955,40.868563,"Abies alba",2025-03-05,7
16.715145,49.364938,"Abies alba",2025-03-03,7
7.325305,45.060025,"Abies alba",2025-03-02,8
7.106367,46.739762,"Abies alba",2025-03-03,9
15.119117,50.76469,"Abies alba",2025-03-03,NA
14.426317,50.019519,"Abies alba",2025-03-03,NA
15.118681,50.764272,"Abies alba",2025-03-03,NA
8.137419,44.313828,"Abies alba",2025-03-09,NA
13.301452,50.022526,"Abies alba",2025-03-01,NA
13.299735,50.028614,"Abies alba",2025-03-01,NA
14.559666,45.782159,"Abies alba",2025-03-09,5
13.307428,50.020023,"Abies alba",2025-03-01,NA
1.02638,42.581128,"Abies alba",2025-03-07,14
13.300642,50.022068,"Abies alba",2025-03-01,NA
17.913155,59.314777,"Abies alba",2025-03-08,NA
13.29957,50.025555,"Abies alba",2025-03-01,NA
13.298135,50.029411,"Abies alba",2025-03-01,43
13.308018,50.02037,"Abies alba",2025-03-01,NA
1.036798,42.580639,"Abies alba",2025-03-07,887
15.46532,47.086556,"Abies alba",2025-03-12,6
13.299588,50.028515,"Abies alba",2025-03-01,NA
16.258634,47.994719,"Abies alba",2025-03-12,8
6.557315,46.664002,"Abies alba",2025-03-14,90
6.831861,46.486039,"Abies alba",2025-03-08,10
6.826221,46.492754,"Abies alba",2025-03-08,28
6.833539,46.484914,"Abies alba",2025-03-08,6
6.819451,46.496146,"Abies alba",2025-03-08,17
13.022971,48.657935,"Abies alba",2025-03-15,3
12.892109,47.743058,"Abies alba",2025-03-16,8
17.22056,49.228699,"Abies alba",2025-03-16,8
6.811642,46.965857,"Abies alba",2025-03-18,4
10.750694,59.997474,"Abies alba",2025-03-16,2
17.55953,59.88589,"Abies alba",2025-03-19,10
16.39913,56.56628,"Abies alba",2025-03-20,25
11.91328,58.37835,"Abies alba",2025-03-23,25
16.6537,59.55559,"Abies alba",2025-03-24,10
13.40829,58.62271,"Abies alba",2025-03-22,10
10.439358,59.908943,"Abies alba",2025-03-28,10
5.15,52.1,"Abies alba",2025-03-23,5000
13.52239,48.175481,"Abies alba",2025-03-26,5
12.7556,47.452663,"Abies alba",2025-03-27,2
12.76057,47.450078,"Abies alba",2025-03-27,35
13.121035,47.650922,"Abies alba",2025-03-24,2
13.506733,47.765536,"Abies alba",2025-03-28,50
13.070986,47.827313,"Abies alba",2025-03-29,16
13.217907,47.648308,"Abies alba",2025-03-28,1
6.3,52.5,"Abies alba",2025-03-30,5000
13.188265,47.906379,"Abies alba",2025-03-30,49
23.495212,49.036178,"Abies alba",2025-03-19,9
23.495177,49.036396,"Abies alba",2025-03-19,9
23.495784,49.035421,"Abies alba",2025-03-19,9
23.493397,49.040216,"Abies alba",2025-03-19,7
23.495432,49.035781,"Abies alba",2025-03-19,6
23.498585,49.031916,"Abies alba",2025-03-19,8
23.493434,49.037817,"Abies alba",2025-03-19,5
15.607427,47.269155,"Abies alba",2025-03-19,NA
23.493818,49.037496,"Abies alba",2025-03-19,6
23.49518,49.036435,"Abies alba",2025-03-19,7
23.495357,49.036074,"Abies alba",2025-03-19,9
23.494963,49.036758,"Abies alba",2025-03-19,9
23.493671,49.037584,"Abies alba",2025-03-19,4
23.489179,49.045019,"Abies alba",2025-03-19,8
